date,spot,ticker,strike,expiry,dte,years_to_expiry,moneyness,target_moneyness,target_dte,option_type,close,volume
2026-03-09,674.6845092773438,O:SPY260515C00640000,640.0,2026-05-15,67,0.1834360027378508,0.9485915138106632,0.95,60,call,52.25,165
2026-03-09,674.6845092773438,O:SPY260515P00640000,640.0,2026-05-15,67,0.1834360027378508,0.9485915138106632,0.95,60,put,11.34,1759
2026-03-09,674.6845092773438,O:SPY260515P00575000,575.0,2026-05-15,67,0.1834360027378508,0.8522501881892678,0.85,60,put,4.38,452
2026-03-09,674.6845092773438,O:SPY260515C00575000,575.0,2026-05-15,67,0.1834360027378508,0.8522501881892678,0.85,60,call,99.05,25
2026-03-09,674.6845092773438,O:SPY260630C00710000,710.0,2026-06-30,113,0.3093771389459274,1.0523437106337046,1.05,120,call,12.7,385
2026-03-09,674.6845092773438,O:SPY260515C00605000,605.0,2026-05-15,67,0.1834360027378508,0.8967154153991427,0.9,60,call,82.9,184
2026-03-09,674.6845092773438,O:SPY260515P00605000,605.0,2026-05-15,67,0.1834360027378508,0.8967154153991427,0.9,60,put,6.76,1484
2026-03-09,674.6845092773438,O:SPY260529C00641000,641.0,2026-05-29,81,0.2217659137577002,0.9500736880509923,0.95,90,call,46.1,70
2026-03-09,674.6845092773438,O:SPY260529P00607000,607.0,2026-05-29,81,0.2217659137577002,0.899679763879801,0.9,90,put,8.06,153
2026-03-09,674.6845092773438,O:SPY260529P00675000,675.0,2026-05-29,81,0.2217659137577002,1.0004676122221838,1.0,90,put,21.83,411
2026-03-09,674.6845092773438,O:SPY260529C00675000,675.0,2026-05-29,81,0.2217659137577002,1.0004676122221838,1.0,90,call,28.09,782
2026-03-09,674.6845092773438,O:SPY260529C00775000,775.0,2026-05-29,81,0.2217659137577002,1.1486850362551,1.15,90,call,0.17,97
2026-03-09,674.6845092773438,O:SPY260529P00575000,575.0,2026-05-29,81,0.2217659137577002,0.8522501881892678,0.85,90,put,5.2,112
2026-03-09,674.6845092773438,O:SPY260529C00740000,740.0,2026-05-29,81,0.2217659137577002,1.0968089378435797,1.1,90,call,1.58,189
2026-03-10,673.6002807617188,O:SPY260410P00640000,640.0,2026-04-10,31,0.0848733744010951,0.9501183688288802,0.95,30,put,6.5,1165
2026-03-10,673.6002807617188,O:SPY260410C00707000,707.0,2026-04-10,31,0.0848733744010951,1.0495838855656536,1.05,30,call,2.17,154
2026-03-10,673.6002807617188,O:SPY260410P00674000,674.0,2026-04-10,31,0.0848733744010951,1.0005934071729146,1.0,30,put,14.97,58
2026-03-10,673.6002807617188,O:SPY260410C00674000,674.0,2026-04-10,31,0.0848733744010951,1.0005934071729146,1.0,30,call,17.87,42
2026-03-10,673.6002807617188,O:SPY260410P00575000,575.0,2026-04-10,31,0.0848733744010951,0.8536219719946971,0.85,30,put,1.8,71
2026-03-10,673.6002807617188,O:SPY260515P00640000,640.0,2026-05-15,66,0.1806981519507187,0.9501183688288802,0.95,60,put,11.93,370
2026-03-10,673.6002807617188,O:SPY260515C00707000,707.0,2026-05-15,66,0.1806981519507187,1.0495838855656536,1.05,60,call,8.03,240
2026-03-10,673.6002807617188,O:SPY260515C00740000,740.0,2026-05-15,66,0.1806981519507187,1.098574363958393,1.1,60,call,0.98,518
2026-03-10,673.6002807617188,O:SPY260515P00605000,605.0,2026-05-15,66,0.1806981519507187,0.8981587705335509,0.9,60,put,7.04,246
2026-03-10,673.6002807617188,O:SPY260515P00575000,575.0,2026-05-15,66,0.1806981519507187,0.8536219719946971,0.85,60,put,4.65,242
2026-03-10,673.6002807617188,O:SPY260630P00640000,640.0,2026-06-30,112,0.3066392881587953,0.9501183688288802,0.95,120,put,16.35,428
2026-03-10,673.6002807617188,O:SPY260630C00775000,775.0,2026-06-30,112,0.3066392881587953,1.1505339622537225,1.15,120,call,0.57,30
2026-03-10,673.6002807617188,O:SPY260630C00740000,740.0,2026-06-30,112,0.3066392881587953,1.098574363958393,1.1,120,call,3.67,1309
2026-03-10,673.6002807617188,O:SPY260630P00675000,675.0,2026-06-30,112,0.3066392881587953,1.0020779671242095,1.0,120,put,25.43,102
2026-03-10,673.6002807617188,O:SPY260630C00675000,675.0,2026-06-30,112,0.3066392881587953,1.0020779671242095,1.0,120,call,32.32,31
2026-03-10,673.6002807617188,O:SPY260618P00640000,640.0,2026-06-18,100,0.2737850787132101,0.9501183688288802,0.95,90,put,15.6,1975
2026-03-10,673.6002807617188,O:SPY260618C00775000,775.0,2026-06-18,100,0.2737850787132101,1.1505339622537225,1.15,90,call,0.45,49
2026-03-10,673.6002807617188,O:SPY260529P00674000,674.0,2026-05-29,80,0.2190280629705681,1.0005934071729146,1.0,90,put,20.01,58
2026-03-10,673.6002807617188,O:SPY260529C00740000,740.0,2026-05-29,80,0.2190280629705681,1.098574363958393,1.1,90,call,1.84,27
2026-03-10,673.6002807617188,O:SPY260618P00575000,575.0,2026-06-18,100,0.2737850787132101,0.8536219719946971,0.85,90,put,7.06,76
2026-03-17,667.2440185546875,O:SPY260417C00734000,734.0,2026-04-17,31,0.0848733744010951,1.1000473283970564,1.1,30,call,0.08,351
2026-03-17,667.2440185546875,O:SPY260417P00634000,634.0,2026-04-17,31,0.0848733744010951,0.9501771201685748,0.95,30,put,5.44,126
2026-03-17,667.2440185546875,O:SPY260515P00667000,667.0,2026-05-15,59,0.1615331964407939,0.9996342888839738,1.0,60,put,17.68,132
2026-03-17,667.2440185546875,O:SPY260417P00667000,667.0,2026-04-17,31,0.0848733744010951,0.9996342888839738,1.0,30,put,12.96,508
2026-03-17,667.2440185546875,O:SPY260417C00667000,667.0,2026-04-17,31,0.0848733744010951,0.9996342888839738,1.0,30,call,17.11,34
